port_name,country,latitude,longitude,port_size,water_body,shelter,max_vessel_size
Maurer,United States,40.533333,-74.25,Very Small,North Atlantic Ocean,Good,0.0
Iharana,Madagascar,-13.35,50.0,Very Small,Indian Ocean,Good,0.0
Chake Chake,Tanzania,-5.25,39.766667,Small,Indian Ocean,Fair,0.0
Mjimwema Terminal,Tanzania,-6.816667,39.366667,Very Small,Indian Ocean,Poor,0.0
Delta Terminal,Turkey,36.85,36.166667,Very Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Cinta Oil Terminal,Indonesia,-5.5,106.233333,Very Small,"Indian Ocean, Java Sea; South Pacific Ocean",Poor,0.0
Europa Point,Gibraltar,36.133333,-5.35,Medium,Strait of Gibraltar; North Atlantic Ocean,Good,0.0
New Harbor,United States,43.866667,-69.483333,Very Small,North Atlantic Ocean,Fair,0.0
Dtse / Gegua Oil Terminal,Brazil,-22.816667,-43.15,Medium,South Atlantic Ocean,Fair,0.0
Sharmah,Saudi Arabia,27.933333,35.25,Very Small,Red Sea; Indian Ocean,Poor,0.0
Norsworthy,United States,29.733333,-95.2,Very Small,Gulf of Mexico; North Atlantic Ocean,Good,0.0
Minturn,United States,44.15,-68.45,Very Small,North Atlantic Ocean,Good,0.0
Criehaven,United States,43.833333,-68.883333,Very Small,North Atlantic Ocean,Poor,0.0
North Point,"Saint Helena, Ascension, and Tristan da Cunha",-7.883333,-14.366667,Small,South Atlantic Ocean,Poor,0.0
Bongkot Terminal,Thailand,8.05,102.333333,Very Small,Gulf of Thailand; South China Sea; North Pacific Ocean,Poor,0.0
Donggala,Indonesia,-0.65,119.733333,Very Small,Makassar Strait; South Pacific Ocean,Fair,0.0
Larimna,Greece,38.566667,23.283333,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Hornillo,Spain,37.4,-1.55,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Melilli Oil Terminal,Italy,37.116667,15.25,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Al Khair Oil Terminal,Sudan,19.583333,37.25,Small,Red Sea; Indian Ocean,Unknown,0.0
Corea,United States,44.4,-67.966667,Very Small,North Atlantic Ocean,Fair,0.0
Margosatubig,Philippines,7.583333,123.166667,Very Small,Celebes Sea; North Pacific Ocean,Excellent,0.0
Arzew El Djedid,Algeria,35.816667,-0.25,Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Karabane,Senegal,12.566667,-16.666667,Very Small,North Atlantic Ocean,Good,0.0
Caleta Mina Elena,Chile,-52.683333,-71.9,Very Small,South Pacific Ocean,Fair,0.0
Monhegan,United States,43.766667,-69.316667,Very Small,North Atlantic Ocean,Poor,0.0
Northeast Harbor,United States,44.3,-68.283333,Very Small,North Atlantic Ocean,Fair,0.0
Bucks Harbor,United States,44.333333,-68.733333,Very Small,North Atlantic Ocean,Good,0.0
Matinicus,United States,43.866667,-68.883333,Very Small,North Atlantic Ocean,Fair,0.0
